TOTAL_NUMBER,TOTAL_VALUE,OFFENCE_FINYEAR,OFFENCE_MONTH,ISSUING_AGENCY,OFFENCE_DESC
2,1760,2018-2019,Jul,Newcastle City Council,Fail to comply with Food Standards Code - Corporation
4,6160,2013-2014,Aug,Department of Primary Industries,Use misleading/deceptive advertising/packaging/labelling of food - Corporation
1,660,2013-2014,Dec,Cumberland Council,Fail to pay fee required by improvement notice - Individual
1,440,2012-2013,Jun,Lane Cove Municipal Council,Fail to comply with Food Standards Code - Individual
2,1760,2014-2015,Sep,Camden Council,Fail to comply with Food Standards Code - Corporation
1,440,2013-2014,Nov,Cumberland Council,Fail to comply with Food Standards Code - Individual
1,440,2017-2018,Jan,Hornsby Shire Council,Fail to comply with Food Standards Code - Individual
1,440,2014-2015,May,Kyogle Council,Fail to comply with Food Standards Code - Individual
2,1760,2013-2014,May,Mosman Municipal Council,Fail to comply with Food Standards Code - Corporation
6,2640,2013-2014,Jun,Strathfield Municipal Council,Fail to comply with Food Standards Code - Individual
1,660,2013-2014,Sep,Cobar Shire Council,Handle food in manner likely to render it unsuitable - Individual
2,1760,2013-2014,Sep,Bayside Council,Fail to comply with Food Standards Code - Corporation
2,880,2014-2015,Oct,Central Coast Council,Fail to comply with Food Standards Code - Individual
6,2640,2015-2016,Sep,Georges River Council,Fail to comply with Food Standards Code - Individual
30,26400,2017-2018,Oct,City of Sydney Council,Fail to comply with Food Standards Code - Corporation
1,880,2015-2016,Mar,Queanbeyan City Council,Fail to comply with Food Standards Code - Corporation
6,5280,2015-2016,Aug,Blue Mountains City Council,Fail to comply with Food Standards Code - Corporation
1,880,2016-2017,Jul,Ku-ring-gai Council,Fail to comply with Food Standards Code - Corporation
1,880,2016-2017,Apr,City of Parramatta,Sell food packaged/labelled contravening Food Standards Code - Corporation
5,4400,2016-2017,Dec,Penrith City Council,Fail to comply with Food Standards Code - Corporation
1,1320,2016-2017,Feb,Cumberland Council,Sell food that is unsuitable - Corporation
1,880,2016-2017,Feb,Department of Primary Industries,Fail to comply with Food Standards Code - Corporation
2,1760,2015-2016,Jun,Department of Primary Industries,Fail to comply with Food Standards Code - Corporation
12,5280,2013-2014,Sep,Canterbury-Bankstown Council,Fail to comply with Food Standards Code - Individual
4,3520,2015-2016,Apr,City of Canada Bay Council,Fail to comply with Food Standards Code - Corporation
1,660,2015-2016,Feb,Department of Primary Industries,Sell food that is unsuitable - Individual
8,7040,2013-2014,May,Blacktown City Council,Fail to comply with Food Standards Code - Corporation
1,1540,2015-2016,Jul,Department of Primary Industries,Use misleading/deceptive advertising/packaging/labelling of food - Corporation
5,4400,2012-2013,Feb,North Sydney City Council,Fail to comply with Food Standards Code - Corporation
14,6160,2016-2017,Mar,Blacktown City Council,Fail to comply with Food Standards Code - Individual
1,880,2016-2017,Nov,Georges River Council,Fail to comply with Food Standards Code - Corporation
2,880,2013-2014,Apr,Mosman Municipal Council,Fail to comply with Food Standards Code - Individual
1,330,2013-2014,Mar,Randwick City Council,Not appoint food safety supervisor for premises - Individual
1,880,2014-2015,May,Blue Mountains City Council,Fail to comply with Food Standards Code - Corporation
5,4400,2014-2015,Dec,Inner West Council,Fail to comply with Food Standards Code - Corporation
1,440,2016-2017,Mar,City of Parramatta,Fail to comply with Food Standards Code - Individual
2,880,2014-2015,Jul,Lismore City Council,Fail to comply with Food Standards Code - Individual
1,440,2014-2015,Sep,Randwick City Council,Fail to comply with Food Standards Code - Individual
2,880,2013-2014,Mar,Northern Beaches Council,Fail to comply with Food Standards Code - Individual
1,880,2017-2018,Nov,Byron Shire Council,Fail to comply with Food Standards Code - Corporation
1,660,2014-2015,Jan,Department of Primary Industries,Carry on food business/activity without a licence - Individual
9,7920,2015-2016,May,Cumberland Council,Fail to comply with Food Standards Code - Corporation
1,880,2012-2013,Apr,Bayside Council,Fail to comply with Food Standards Code - Corporation
1,880,2012-2013,Jun,Goulburn Mulwaree Council,Fail to comply with Food Standards Code - Corporation
3,2640,2014-2015,Jan,City of Parramatta,Fail to comply with Food Standards Code - Corporation
11,4840,2016-2017,Jan,Blacktown City Council,Fail to comply with Food Standards Code - Individual
3,1320,2015-2016,Feb,Campbelltown City Council,Fail to comply with Food Standards Code - Individual
2,880,2015-2016,Mar,Tweed Shire Council,Fail to comply with Food Standards Code - Individual
2,1760,2015-2016,Jan,Georges River Council,Fail to comply with Food Standards Code - Corporation
7,6160,2015-2016,Mar,Ku-ring-gai Council,Fail to comply with Food Standards Code - Corporation
1,1320,2017-2018,Apr,City of Parramatta,Fail to pay fee required by improvement notice - Corporation
1,330,2013-2014,Apr,Blacktown City Council,Not keep and produce for inspection copy of food safety supervisor certificate - Individual
4,3520,2016-2017,Feb,Northern Beaches Council,Fail to comply with Food Standards Code - Corporation
4,3520,2013-2014,Apr,Ku-ring-gai Council,Fail to comply with Food Standards Code - Corporation
1,440,2015-2016,May,Wagga Wagga City Council,Fail to comply with Food Standards Code - Individual
1,660,2014-2015,Dec,North Sydney City Council,Fail to pay fee required by improvement notice - Individual
1,880,2014-2015,Nov,Waverley Council,Fail to comply with Food Standards Code - Corporation
3,1320,2017-2018,Oct,North Sydney City Council,Fail to comply with Food Standards Code - Individual
2,3080,2018-2019,Nov,Cumberland Council,Fail to comply with a prohibition order - Corporation
39,34320,2017-2018,Mar,City of Sydney Council,Fail to comply with Food Standards Code - Corporation
2,1760,2014-2015,Jan,Georges River Council,Fail to comply with Food Standards Code - Corporation
4,3520,2018-2019,Aug,Liverpool City Council,Fail to comply with Food Standards Code - Corporation
4,3520,2015-2016,Nov,Inner West Council,Fail to comply with Food Standards Code - Corporation
1,880,2016-2017,Jun,Georges River Council,Fail to comply with Food Standards Code - Corporation
2,2640,2017-2018,Oct,North Sydney City Council,Fail to pay fee required by improvement notice - Corporation
6,5280,2017-2018,May,Cumberland Council,Fail to comply with Food Standards Code - Corporation
4,1760,2014-2015,Aug,City of Sydney Council,Fail to comply with Food Standards Code - Individual
7,6160,2013-2014,Sep,Inner West Council,Fail to comply with Food Standards Code - Corporation
4,1760,2015-2016,Jan,Strathfield Municipal Council,Fail to comply with Food Standards Code - Individual
1,880,2016-2017,Feb,Department of Primary Industries,Sell food that fails to comply with the Food Standards Code - Corporation
1,440,2013-2014,May,Richmond Valley Council,Fail to comply with Food Standards Code - Individual
1,1320,2018-2019,Nov,Campbelltown City Council,Fail to pay fee required by improvement notice - Corporation
7,9240,2012-2013,Mar,Department of Primary Industries,Not comply with requirements of food safety scheme - Corporation
4,1760,2015-2016,Apr,Blacktown City Council,Fail to comply with Food Standards Code - Individual
1,660,2017-2018,Nov,Blacktown City Council,Not keep and produce for inspection copy of food safety supervisor certificate - Corporation
2,1760,2016-2017,Jan,Inner West Council,Fail to comply with Food Standards Code - Corporation
1,880,2017-2018,Aug,Clarence Valley Council,Fail to comply with Food Standards Code - Corporation
19,16720,2017-2018,May,Canterbury-Bankstown Council,Fail to comply with Food Standards Code - Corporation
1,330,2014-2015,Apr,Blacktown City Council,Not keep and produce for inspection copy of food safety supervisor certificate - Individual
1,880,2012-2013,May,Hornsby Shire Council,Fail to comply with Food Standards Code - Corporation
1,880,2013-2014,Nov,Ballina Shire Council,Fail to comply with Food Standards Code - Corporation
2,1760,2014-2015,Aug,Georges River Council,Fail to comply with Food Standards Code - Corporation
1,880,2016-2017,Apr,Cobar Shire Council,Fail to comply with Food Standards Code - Corporation
3,1320,2012-2013,May,Byron Shire Council,Fail to comply with Food Standards Code - Individual
3,2640,2014-2015,Sep,Cumberland Council,Fail to comply with Food Standards Code - Corporation
1,1320,2013-2014,Jun,Cumberland Council,Fail to pay fee required by improvement notice - Corporation
1,440,2014-2015,Jul,Queanbeyan City Council,Fail to comply with Food Standards Code - Individual
7,6160,2016-2017,Jul,City of Parramatta,Fail to comply with Food Standards Code - Corporation
1,660,2017-2018,Jun,North Sydney City Council,Not appoint food safety supervisor for premises - Corporation
4,1760,2012-2013,Jan,Wollongong City Council,Fail to comply with Food Standards Code - Individual
2,880,2016-2017,Nov,Camden Council,Fail to comply with Food Standards Code - Individual
5,2200,2015-2016,Jul,Fairfield City Council,Fail to comply with Food Standards Code - Individual
1,440,2015-2016,May,Blacktown City Council,Fail to comply with Food Standards Code - Individual
2,880,2016-2017,Oct,Inner West Council,Fail to comply with Food Standards Code - Individual
2,880,2016-2017,Nov,Strathfield Municipal Council,Fail to comply with Food Standards Code - Individual
1,1320,2013-2014,Oct,Cumberland Council,Fail to pay fee required by improvement notice - Corporation
1,440,2016-2017,Aug,Inner West Council,Fail to comply with Food Standards Code - Individual
4,1760,2015-2016,Jun,Campbelltown City Council,Fail to comply with Food Standards Code - Individual
3,1320,2013-2014,Apr,Willoughby City Council,Fail to comply with Food Standards Code - Individual
3,1320,2016-2017,Apr,Penrith City Council,Fail to comply with Food Standards Code - Individual
4,3520,2014-2015,Oct,Georges River Council,Fail to comply with Food Standards Code - Corporation
18,15840,2017-2018,Mar,Waverley Council,Fail to comply with Food Standards Code - Corporation
1,660,2012-2013,Jun,Inner West Council,Not appoint food safety supervisor for premises - Corporation
1,440,2016-2017,Mar,Byron Shire Council,Fail to comply with Food Standards Code - Individual
2,880,2018-2019,Oct,Canterbury-Bankstown Council,Sell food that fails to comply with the Food Standards Code - Individual
1,660,2013-2014,Jul,City of Parramatta,Fail to pay fee required by improvement notice - Individual
2,1760,2012-2013,May,Eurobodalla Shire Council,Fail to comply with Food Standards Code - Corporation
1,330,2012-2013,Apr,Northern Beaches Council,Not appoint food safety supervisor for premises - Individual
1,440,2014-2015,Jan,Inner West Council,Fail to comply with Food Standards Code - Individual
1,880,2013-2014,Oct,Strathfield Municipal Council,Fail to comply with Food Standards Code - Corporation
8,7040,2016-2017,May,North Sydney City Council,Fail to comply with Food Standards Code - Corporation
2,1320,2015-2016,Jan,Department of Primary Industries,Not comply with requirements of food safety scheme - Individual
1,880,2015-2016,Sep,Snowy Monaro Regional Council,Fail to comply with Food Standards Code - Corporation
4,1760,2018-2019,Jul,Port Stephens Council,Fail to comply with Food Standards Code - Individual
2,880,2014-2015,May,City of Sydney Council,Fail to comply with Food Standards Code - Individual
5,2200,2013-2014,Mar,Liverpool City Council,Fail to comply with Food Standards Code - Individual
8,7040,2015-2016,Aug,Office of Environment and Heritage (NPWS),Fail to comply with Food Standards Code - Corporation
4,3520,2015-2016,Jul,North Sydney City Council,Fail to comply with Food Standards Code - Corporation
6,5280,2012-2013,Jun,City of Ryde,Fail to comply with Food Standards Code - Corporation
2,880,2018-2019,Oct,City of Sydney Council,Fail to comply with Food Standards Code - Individual
1,880,2017-2018,Apr,MidCoast Council,Fail to comply with Food Standards Code - Corporation
3,2640,2015-2016,Jun,Mosman Municipal Council,Fail to comply with Food Standards Code - Corporation
2,880,2018-2019,Jan,City of Sydney Council,Fail to comply with Food Standards Code - Individual
3,1320,2015-2016,Sep,Campbelltown City Council,Fail to comply with Food Standards Code - Individual
1,880,2018-2019,Oct,City of Parramatta,Fail to comply with Food Standards Code - Corporation
7,6160,2014-2015,Sep,Canterbury-Bankstown Council,Fail to comply with Food Standards Code - Corporation
4,1760,2012-2013,Jan,Blacktown City Council,Fail to comply with Food Standards Code - Individual
1,880,2012-2013,Jan,City of Canada Bay Council,Fail to comply with Food Standards Code - Corporation
1,440,2014-2015,Aug,Port Stephens Council,Fail to comply with Food Standards Code - Individual
5,4400,2013-2014,Apr,City of Parramatta,Fail to comply with Food Standards Code - Corporation
1,440,2015-2016,Oct,MidCoast Council,Fail to comply with Food Standards Code - Individual
2,1760,2014-2015,Jun,Central Coast Council,Fail to comply with Food Standards Code - Corporation
3,2640,2017-2018,Apr,Shoalhaven City Council,Fail to comply with Food Standards Code - Corporation
4,1760,2017-2018,Mar,City of Parramatta,Fail to comply with Food Standards Code - Individual
2,1760,2016-2017,Sep,City of Sydney Council,Fail to comply with Food Standards Code - Corporation
4,3520,2017-2018,May,Blue Mountains City Council,Fail to comply with Food Standards Code - Corporation
2,880,2016-2017,May,Port Stephens Council,Fail to comply with Food Standards Code - Individual
1,440,2016-2017,May,Cumberland Council,Sell food packaged/labelled contravening Food Standards Code - Individual
7,6160,2018-2019,Aug,City of Canada Bay Council,Fail to comply with Food Standards Code - Corporation
1,330,2014-2015,Oct,Blacktown City Council,Not appoint food safety supervisor for premises - Individual
3,2640,2016-2017,Mar,Strathfield Municipal Council,Fail to comply with Food Standards Code - Corporation
1,880,2017-2018,Jun,Ku-ring-gai Council,Fail to comply with Food Standards Code - Corporation
2,1760,2018-2019,Jul,Department of Primary Industries,Sell food that fails to comply with the Food Standards Code - Corporation
3,2640,2014-2015,Feb,Penrith City Council,Fail to comply with Food Standards Code - Corporation
3,2640,2013-2014,Oct,Inner West Council,Fail to comply with Food Standards Code - Corporation
1,660,2017-2018,Mar,City of Parramatta,Fail to pay fee required by improvement notice - Individual
13,11440,2015-2016,Mar,Willoughby City Council,Fail to comply with Food Standards Code - Corporation
1,880,2018-2019,Sep,Tamworth Regional Council,Fail to comply with Food Standards Code - Corporation
2,1760,2015-2016,Oct,Campbelltown City Council,Sell food that fails to comply with the Food Standards Code - Corporation
6,2640,2016-2017,May,Department of Primary Industries,Fail to comply with Food Standards Code - Individual
2,1760,2015-2016,Mar,Department of Primary Industries,Sell food that fails to comply with the Food Standards Code - Corporation
2,1760,2018-2019,Sep,Hawkesbury City Council,Fail to comply with Food Standards Code - Corporation
15,13200,2015-2016,May,North Sydney City Council,Fail to comply with Food Standards Code - Corporation
2,880,2015-2016,Jan,Sutherland Shire Council,Fail to comply with Food Standards Code - Individual
4,3520,2013-2014,Jun,Fairfield City Council,Fail to comply with Food Standards Code - Corporation
3,1320,2014-2015,Mar,Blacktown City Council,Fail to comply with Food Standards Code - Individual
3,1320,2017-2018,Oct,Liverpool City Council,Fail to comply with Food Standards Code - Individual
13,11440,2016-2017,Mar,North Sydney City Council,Fail to comply with Food Standards Code - Corporation
6,5280,2017-2018,Nov,Burwood Council,Fail to comply with Food Standards Code - Corporation
1,770,2015-2016,Sep,Department of Primary Industries,Sell unsafe food - Individual
7,6160,2012-2013,Jan,Orange City Council,Fail to comply with Food Standards Code - Corporation
4,3520,2012-2013,Apr,Willoughby City Council,Fail to comply with Food Standards Code - Corporation
1,880,2012-2013,Mar,Central Coast Council,Fail to comply with Food Standards Code - Corporation
3,2640,2012-2013,Mar,Georges River Council,Fail to comply with Food Standards Code - Corporation
6,2640,2012-2013,Jun,North Sydney City Council,Fail to comply with Food Standards Code - Individual
2,880,2012-2013,Jun,Randwick City Council,Fail to comply with Food Standards Code - Individual
1,880,2012-2013,Jun,MidCoast Council,Fail to comply with Food Standards Code - Corporation
1,330,2012-2013,Jun,North Sydney City Council,Not appoint food safety supervisor for premises - Individual
10,8800,2013-2014,Sep,Willoughby City Council,Fail to comply with Food Standards Code - Corporation
3,1980,2013-2014,Sep,Department of Primary Industries,Not comply with requirements of food safety scheme - Individual
4,1760,2013-2014,Nov,Port Stephens Council,Fail to comply with Food Standards Code - Individual
5,4400,2013-2014,Dec,Bayside Council,Fail to comply with Food Standards Code - Corporation
2,3080,2013-2014,Sep,Department of Primary Industries,Sell food packaged/labelled that falsely describes the food - Corporation
1,880,2013-2014,Jan,City of Ryde,Fail to comply with Food Standards Code - Corporation
4,1760,2013-2014,Feb,Department of Primary Industries,Sell food that fails to comply with the Food Standards Code - Individual
1,880,2013-2014,May,Tweed Shire Council,Fail to comply with Food Standards Code - Corporation
6,2640,2013-2014,May,Fairfield City Council,Fail to comply with Food Standards Code - Individual
1,880,2013-2014,Jun,Lismore City Council,Fail to comply with Food Standards Code - Corporation
1,440,2014-2015,Aug,Bayside Council,Fail to comply with Food Standards Code - Individual
1,1320,2014-2015,Jan,Wagga Wagga City Council,Sell food that is unsuitable - Corporation
12,10560,2014-2015,Jan,Canterbury-Bankstown Council,Fail to comply with Food Standards Code - Corporation
2,1760,2014-2015,Jan,Liverpool Plains Shire Council,Fail to comply with Food Standards Code - Corporation
3,2640,2014-2015,Feb,Department of Primary Industries,Sell food packaged/labelled contravening Food Standards Code - Corporation
3,1320,2014-2015,Jun,Blue Mountains City Council,Fail to comply with Food Standards Code - Individual
6,5280,2015-2016,Sep,Fairfield City Council,Fail to comply with Food Standards Code - Corporation
6,5280,2015-2016,Oct,Liverpool City Council,Fail to comply with Food Standards Code - Corporation
1,660,2015-2016,Oct,Blacktown City Council,Not appoint food safety supervisor for premises - Corporation
4,1760,2015-2016,Feb,City of Sydney Council,Fail to comply with Food Standards Code - Individual
19,16720,2015-2016,Mar,Cumberland Council,Fail to comply with Food Standards Code - Corporation
1,660,2015-2016,Nov,North Sydney City Council,Fail to pay fee required by improvement notice - Individual
1,880,2015-2016,Apr,Campbelltown City Council,Fail to comply with Food Standards Code - Corporation
1,660,2015-2016,Feb,Campbelltown City Council,Not appoint food safety supervisor for premises - Corporation
2,3080,2015-2016,Jan,Department of Primary Industries,Sell unsafe food - Corporation
1,1320,2015-2016,Mar,City of Sydney Council,Fail to pay fee required by improvement notice - Corporation
2,880,2016-2017,Aug,Canterbury-Bankstown Council,Fail to comply with Food Standards Code - Individual
6,5280,2016-2017,Aug,Liverpool City Council,Fail to comply with Food Standards Code - Corporation
5,2200,2016-2017,Aug,Liverpool City Council,Fail to comply with Food Standards Code - Individual
1,330,2016-2017,Nov,Bayside Council,Not appoint food safety supervisor for premises - Individual
11,9680,2016-2017,Nov,Hornsby Shire Council,Fail to comply with Food Standards Code - Corporation
1,1320,2016-2017,Nov,Inner West Council,Fail to pay fee required by improvement notice - Corporation
2,2640,2016-2017,Apr,Northern Beaches Council,Fail to pay fee required by improvement notice - Corporation
1,440,2016-2017,Apr,Blue Mountains City Council,Fail to comply with Food Standards Code - Individual
6,5280,2016-2017,May,Camden Council,Fail to comply with Food Standards Code - Corporation
2,2640,2016-2017,May,Department of Primary Industries,Handle sell food so as to contravene the food safety scheme - Corporation
3,1320,2017-2018,Aug,Inner West Council,Fail to comply with Food Standards Code - Individual
5,4400,2017-2018,Aug,Burwood Council,Fail to comply with Food Standards Code - Corporation
1,880,2017-2018,Nov,Waverley Council,Fail to comply with Food Standards Code - Corporation
1,440,2014-2015,Jan,Tamworth Regional Council,Fail to comply with Food Standards Code - Individual
8,7040,2017-2018,Apr,Burwood Council,Fail to comply with Food Standards Code - Corporation
1,880,2017-2018,Jun,Penrith City Council,Fail to comply with Food Standards Code - Corporation
19,16720,2017-2018,May,Northern Beaches Council,Fail to comply with Food Standards Code - Corporation
2,880,2018-2019,Jul,Waverley Council,Fail to comply with Food Standards Code - Individual
1,660,2018-2019,Sep,North Sydney City Council,Not continue to have food safety supervisor for premises - Corporation
2,1760,2018-2019,Aug,Northern Beaches Council,Fail to comply with Food Standards Code - Corporation
1,440,2012-2013,Mar,Cumberland Council,Fail to comply with Food Standards Code - Individual
1,660,2012-2013,May,Strathfield Municipal Council,Not appoint food safety supervisor for premises - Corporation
5,4400,2013-2014,Aug,City of Sydney Council,Fail to comply with Food Standards Code - Corporation
3,2310,2013-2014,Sep,Cobar Shire Council,Handle food in manner likely to render it unsafe - Individual
1,440,2013-2014,Jul,Department of Primary Industries,Sell food that fails to comply with the Food Standards Code - Individual
1,440,2013-2014,Oct,Cumberland Council,Fail to comply with Food Standards Code - Individual
1,880,2013-2014,Dec,Department of Primary Industries,Fail to comply with Food Standards Code - Corporation
3,1320,2013-2014,Mar,Fairfield City Council,Fail to comply with Food Standards Code - Individual
6,5280,2013-2014,Mar,Blue Mountains City Council,Fail to comply with Food Standards Code - Corporation
1,330,2013-2014,Jun,Lismore City Council,Not appoint food safety supervisor for premises - Individual
3,1320,2014-2015,Aug,Central Coast Council,Fail to comply with Food Standards Code - Individual
1,1320,2014-2015,Jan,Blacktown City Council,Sell food that is unsuitable - Corporation
1,660,2014-2015,Jan,City of Parramatta,Fail to pay fee required by improvement notice - Individual
1,880,2014-2015,Apr,City of Parramatta,Fail to comply with Food Standards Code - Corporation
8,3520,2014-2015,Jun,City of Sydney Council,Fail to comply with Food Standards Code - Individual
1,880,2014-2015,Jun,Liverpool City Council,Fail to comply with Food Standards Code - Corporation
6,7920,2015-2016,Aug,Department of Primary Industries,Not comply with requirements of food safety scheme - Corporation
3,1320,2015-2016,Oct,Fairfield City Council,Fail to comply with Food Standards Code - Individual
8,7040,2015-2016,Nov,Department of Primary Industries,Fail to comply with Food Standards Code - Corporation
3,2640,2015-2016,Dec,Randwick City Council,Fail to comply with Food Standards Code - Corporation
5,2200,2015-2016,Apr,Willoughby City Council,Fail to comply with Food Standards Code - Individual
1,880,2015-2016,Mar,The Hills Shire Council,Fail to comply with Food Standards Code - Corporation
1,880,2015-2016,Feb,City of Sydney Council,Fail to comply with Food Standards Code - Corporation
1,440,2015-2016,Apr,Willoughby City Council,Disclose manufacturing or commercial secrets - Individual
1,440,2015-2016,May,Bega Valley Shire Council,Fail to comply with Food Standards Code - Individual
1,440,2016-2017,Nov,Ku-ring-gai Council,Fail to comply with Food Standards Code - Individual
1,880,2016-2017,Apr,Inner West Council,Fail to comply with Food Standards Code - Corporation
2,880,2016-2017,Dec,Port Stephens Council,Fail to comply with Food Standards Code - Individual
1,880,2016-2017,May,Port Stephens Council,Fail to comply with Food Standards Code - Corporation
9,7920,2016-2017,Apr,Northern Beaches Council,Fail to comply with Food Standards Code - Corporation
4,1760,2016-2017,Jun,Blacktown City Council,Fail to comply with Food Standards Code - Individual
1,880,2016-2017,May,Waverley Council,Fail to comply with Food Standards Code - Corporation
3,2640,2017-2018,Jul,MidCoast Council,Fail to comply with Food Standards Code - Corporation
1,880,2017-2018,Jul,Hornsby Shire Council,Fail to comply with Food Standards Code - Corporation
3,1980,2017-2018,Oct,City of Sydney Council,Not keep and produce for inspection copy of food safety supervisor certificate - Corporation
2,1760,2017-2018,Oct,Hunters Hill Council,Fail to comply with Food Standards Code - Corporation
6,5280,2017-2018,Oct,City of Canada Bay Council,Fail to comply with Food Standards Code - Corporation
1,880,2017-2018,Oct,Lane Cove Municipal Council,Fail to comply with Food Standards Code - Corporation
5,4400,2017-2018,Dec,Cumberland Council,Fail to comply with Food Standards Code - Corporation
6,2640,2017-2018,Jan,Canterbury-Bankstown Council,Fail to comply with Food Standards Code - Individual
1,880,2017-2018,Jan,Bayside Council,Fail to comply with Food Standards Code - Corporation
1,440,2017-2018,May,Georges River Council,Fail to comply with Food Standards Code - Individual
2,1760,2018-2019,Jul,City of Canada Bay Council,Fail to comply with Food Standards Code - Corporation
1,1320,2018-2019,Jul,City of Parramatta,Sell food that is unsuitable - Corporation
2,1760,2018-2019,Aug,Newcastle City Council,Fail to comply with Food Standards Code - Corporation
1,660,2018-2019,Sep,North Sydney City Council,Not keep and produce for inspection copy of food safety supervisor certificate - Corporation
1,1540,2018-2019,Sep,Department of Primary Industries,Sell unsafe food - Corporation
5,2200,2018-2019,Jan,Inner West Council,Fail to comply with Food Standards Code - Individual
1,660,2018-2019,Nov,Waverley Council,Not appoint food safety supervisor for premises - Corporation
2,880,2018-2019,Jan,Georges River Council,Fail to comply with Food Standards Code - Individual
3,1320,2018-2019,Aug,Department of Primary Industries,Fail to comply with Food Standards Code - Individual
9,7920,2018-2019,Jan,Waverley Council,Fail to comply with Food Standards Code - Corporation
3,2640,2018-2019,Jan,Sutherland Shire Council,Fail to comply with Food Standards Code - Corporation
1,880,2012-2013,Jan,Liverpool City Council,Fail to comply with Food Standards Code - Corporation
1,880,2012-2013,Feb,Georges River Council,Fail to comply with Food Standards Code - Corporation
3,2640,2012-2013,Mar,Bayside Council,Fail to comply with Food Standards Code - Corporation
1,440,2012-2013,Mar,Hawkesbury City Council,Fail to comply with Food Standards Code - Individual
1,440,2012-2013,Feb,Ballina Shire Council,Fail to comply with Food Standards Code - Individual
4,1760,2012-2013,May,Georges River Council,Fail to comply with Food Standards Code - Individual
2,2640,2013-2014,Jul,Department of Primary Industries,Not comply with requirements of food safety scheme - Corporation
1,1320,2013-2014,Jul,Department of Primary Industries,Carry on food business/activity without a licence - Corporation
2,1760,2013-2014,Sep,Ku-ring-gai Council,Fail to comply with Food Standards Code - Corporation
1,880,2013-2014,Sep,Northern Beaches Council,Fail to comply with Food Standards Code - Corporation
3,1320,2013-2014,Oct,Campbelltown City Council,Fail to comply with Food Standards Code - Individual
2,880,2013-2014,Nov,Goulburn Mulwaree Council,Fail to comply with Food Standards Code - Individual
1,770,2013-2014,Dec,Newcastle City Council,Knowingly provide false/misleading information - Individual
1,880,2013-2014,Dec,Blacktown City Council,Fail to comply with Food Standards Code - Corporation
2,1320,2013-2014,Feb,Cumberland Council,Fail to pay fee required by improvement notice - Individual
1,440,2013-2014,Feb,Willoughby City Council,Fail to comply with Food Standards Code - Individual
1,880,2013-2014,Apr,Randwick City Council,Fail to comply with Food Standards Code - Corporation
1,660,2013-2014,May,Blacktown City Council,Not keep and produce for inspection copy of food safety supervisor certificate - Corporation
1,660,2013-2014,May,Kiama Municipal Council,Fail to pay fee required by improvement notice - Individual
8,7040,2014-2015,Mar,Fairfield City Council,Fail to comply with Food Standards Code - Corporation
2,1760,2014-2015,Mar,Inner West Council,Fail to comply with Food Standards Code - Corporation
1,440,2014-2015,Apr,Newcastle City Council,Fail to comply with Food Standards Code - Individual
1,1540,2014-2015,Apr,Department of Primary Industries,Handle food in manner likely to render it unsafe - Corporation
1,1540,2014-2015,Nov,Department of Primary Industries,Sell unsafe food - Corporation
2,1760,2014-2015,Apr,Central Coast Council,Fail to comply with Food Standards Code - Corporation
8,3520,2015-2016,Sep,Cumberland Council,Fail to comply with Food Standards Code - Individual
1,880,2015-2016,Sep,Blacktown City Council,Fail to comply with Food Standards Code - Corporation
1,880,2015-2016,Sep,Strathfield Municipal Council,Fail to comply with Food Standards Code - Corporation
4,3520,2015-2016,Oct,Bayside Council,Fail to comply with Food Standards Code - Corporation
14,12320,2015-2016,Jan,Willoughby City Council,Fail to comply with Food Standards Code - Corporation
5,4400,2015-2016,Feb,Bayside Council,Fail to comply with Food Standards Code - Corporation
2,1760,2015-2016,Feb,Newcastle City Council,Fail to comply with Food Standards Code - Corporation
1,440,2015-2016,Sep,Department of Primary Industries,Fail to comply with Food Standards Code - Individual
1,330,2015-2016,Mar,Wagga Wagga City Council,Not appoint food safety supervisor for premises - Individual
1,660,2015-2016,May,North Sydney City Council,Not appoint food safety supervisor for premises - Corporation
1,440,2015-2016,Jun,Coffs Harbour City Council,Fail to comply with Food Standards Code - Individual
3,1320,2016-2017,Aug,Northern Beaches Council,Fail to comply with Food Standards Code - Individual
1,440,2015-2016,Jun,Wagga Wagga City Council,Fail to comply with Food Standards Code - Individual
1,880,2016-2017,Jul,Fairfield City Council,Fail to comply with Food Standards Code - Corporation
2,880,2016-2017,Aug,Cumberland Council,Fail to comply with Food Standards Code - Individual
3,1320,2016-2017,Oct,Canterbury-Bankstown Council,Fail to comply with Food Standards Code - Individual
1,440,2016-2017,Dec,Georges River Council,Fail to comply with Food Standards Code - Individual
4,3520,2016-2017,Jan,Shoalhaven City Council,Fail to comply with Food Standards Code - Corporation
1,440,2016-2017,Jan,Bega Valley Shire Council,Fail to comply with Food Standards Code - Individual
2,1760,2016-2017,Jan,City of Parramatta,Fail to comply with Food Standards Code - Corporation
1,660,2016-2017,Dec,City of Sydney Council,Not appoint food safety supervisor for premises - Corporation
5,6600,2016-2017,Mar,City of Parramatta,Fail to pay fee required by improvement notice - Corporation
2,880,2016-2017,Feb,Penrith City Council,Fail to comply with Food Standards Code - Individual
4,3520,2016-2017,Jun,Inner West Council,Fail to comply with Food Standards Code - Corporation
2,1760,2016-2017,Jun,Cessnock City Council,Fail to comply with Food Standards Code - Corporation
1,880,2016-2017,May,Clarence Valley Council,Fail to comply with Food Standards Code - Corporation
